Date / Time,City,State,Shape,Duration,Summary,Posted
8/27/08 20:00,Post,TX,Light,30 minuts,"light sitting in one place high in the sky for thirty minuts that i saw but others said all day, i watched light slowly leave.9-27-08",10/31/08
8/27/08 19:00,Wichita County,TX,Diamond,"1 hour, 15 min.","On Saturday evening, 27 Sep 08 between the hours of 7:00 – 8:15 P.M., my wife and I noticed an unknown object emitting an extremely bri",10/31/08
8/27/08 15:00,League City,TX,Unknown,captured in single photo ,Green UFO over Galveston County 8-27-08.  ((NUFORC Note:  Optical aberration.  PD)),10/31/08
8/27/08 12:25,Houston,TX,Cylinder,5 MIN,"UFO PROB/FBI/CIA? 27 AUG 08 I was leaving work around 12:25 pm, 27 Aug 08, Ellington Fld, Houston, TX-- I was going home to evacuating",8/27/09
8/27/08 12:00,Houston,TX,Cylinder,5 minutes,It took this long to find  wedsite  of the probe I saw in story above.,5/15/13
8/27/08 03:04,Pearland,TX,Fireball,seconds,Bright Fireball-like object appeared/disappeared for 6 seconds over suburb of Houston at 3:04am,10/31/08
8/26/08 07:30,Springtown,TX,Cigar,10 min,This is SCARY,10/31/08
8/25/08 21:00,Athens,TX,Triangle,6-8 sec,Unkonwn object in the night sky emitting 4 dim lit lights in a triangular form,10/31/08
8/22/08 18:25,Beaumont,TX,Cylinder,5 seconds,Wingless tube,10/31/08
8/22/08,Dallas,TX,,,Found on Google Maps Street View,10/31/08
8/21/08 23:50,Mesquite,TX,Sphere,7 minutes,Close call for aircraft on approach into Dallas.,10/31/08
8/20/08 22:00,Gatesville,TX,Triangle,5-6 seconds,Silent slow moving wide triangular non illuminated object.,10/31/08
8/18/08 09:20,Arlington,TX,Oval,approx.20min,Large oval object hovering over major Texas city,10/31/08
8/17/08 22:45,Smithville,TX,Light,1 minute or more,3 lights high in the sky.,6/12/11
8/17/08 18:30,Houston,TX,Chevron,20 min,black slow moving  V shape object over houston s george bush airport,10/31/08
8/14/08 20:12,El Paso,TX,Teardrop,4 to 7 minutes,"Two objects in sky over El Paso, Texas",10/31/08
8/14/08 20:05,Lantana,TX,Circle,5 minutes,"Lantana, TX, 8/14/2008, 8:05 pm, Red light, moved overhead slowly",1/10/09
8/14/08 14:30,Austin,TX,Unknown,just a couple of minutes,White spinning object passed overhead in daylight.,10/31/08
8/13/08 20:00,Cross Roads,TX,Disk,15 minutes,I was outside around 8:00 PM playing frisbee with my dog. I happened to look up and was amazed to see an object in the sky with a short,10/31/08
8/12/08 13:00,Amarillo,TX,Disk,3 minutes,"Saw with naked eyes, football field sized ufo perform impossible maneuvers.",4/8/15
8/11/08 21:45,Hebbronville,TX,Fireball,15 minutes,Green ball and yellow light,8/12/08
8/10/08 13:30,Kingsland (Lake LBJ),TX,Sphere,5 minutes,Pearl like sphere hovering and then covering miles in a few seconds.,10/31/08
8/10/08 12:30,Katy,TX,,10 sec,dont know exactly what it was but was moving at a high rate of speed and was burning off particles on its descent.  and then vanished,8/12/08
8/10/08 02:00,Lakehills,TX,Light,3 min,Looked like Saturn or Venus,4/14/09
8/10/08 01:30,Houston,TX,Cigar,seconds,"Extremely bright, cigar shaped object in the night sky near down town Houston.",8/12/08
8/9/08 22:00,Houston,TX,Light,1 hour,Series of tall columns arorned with white lights and alternating on/off from left to right,8/12/08
8/9/08 21:00,Spring,TX,Circle,15 min,"Large, glowing bright circular object moving accross sky. No sound or strobe lights. Slowly moving & then sped up & vanished",8/12/08
8/8/08 22:00,Corpus Christi,TX,Light,15 minutes,"bright light over Corpus Christi, Texas takes 90 degree evasive action when Navy plane approaches & disappears.",10/31/08
8/8/08 20:11,Alamo,TX,Sphere,Approx. 10 minutes,"2 silver ""tubes"" seen flying in sky.  Not weather balloons.  No wings.  Moving fast.",8/12/08
8/8/08 17:25,Denton,TX,Disk,5 minutes or more,"I went outside to have my afternoon break, which today was at 5:25. I happened to look up and see the same object as I had seen the",8/12/08
8/8/08 09:00,McAllen,TX,Disk,2 to 3 minutes,Daytime Objects Unexplained,8/12/08
8/7/08 21:20,Allen,TX,Teardrop,1 min,Around 9:20 we saw a really bright light in the sky at first we thought it was an airplane but it didn't have red blinking lights and i,8/12/08
8/7/08 16:25,Denton,TX,Disk,5 minutes,I went outside for my afternoon break and happened to look up and see a shiny object traveling thru the sky. Of course my first thought,8/12/08
8/7/08 15:00,Ingleside,TX,Disk,10 MINUTES,ABOUT 30 SILVER DISC SHAPED OBJECTS,1/10/09
8/6/08 22:35,Broaddus,TX,Unknown,40 min,pulsationg lights in northern sky.  ((NUFORC Note:  Possible star??  PD)),8/12/08
8/4/08 22:30,Austin,TX,Light,5 seconds,light shot across sky horizontally from north to south at extremely high rate of speed.,8/12/08
8/2/08 22:30,Brady,TX,Other,15 MIN,"Witnessed, two gray objects flying without lights and sound.",10/31/08
8/1/08 01:31,Palestine,TX,Teardrop,3 Minutes,Teardrop orbs near in the Pineywoods of State Highway 294 in East Texas.,8/12/08
7/29/08 07:30,"Kennedale,",TX,Diamond,1 hour,Diamond shaped craft hovers above power lines,8/12/08
7/28/08 08:15,Houston,TX,Light,8:16,If I hadn't ran I've would've been abducted..again!,8/12/08
7/27/08 13:10,San Antonio,TX,Oval,3 minutes or so,"Daytime sighting on busy freeway, UFO landed.",8/12/08
7/27/08 03:30,Leander,TX,Oval,7 min,Wavey  Wings with Strobe Lights !!!! Lasted for 7 Mins,8/12/08
7/25/08 05:10,Lake Kiowa,TX,Triangle,5 minutes,Lake KIowa  Texas UFO,8/12/08
7/24/08 18:00,Corpus Christi,TX,Other,2-3 minutes,Shiny object near chem-trail in the sky.,10/31/08
7/20/08 02:20,Fort Davis,TX,Light,20 MIN,"2:20 am July 20-08 Fort Davis, Texas, Davis Mountains Resort lights moving in l shape red blue green. n.west sky.",8/12/08
7/18/08 19:00,Houston,TX,Other,15 minutes,Flying humanoid in houston?,8/12/08
7/17/08 00:45,Caddo Mills,TX,Unknown,3 seconds,Blue Green Flash burst seen raining down over July Texas sky at night.,3/19/09
7/16/08 04:00,Wichita Falls,TX,Other,7 seconds,"Saw a Bird Shaped UFO flying towards Dallas, no noise",8/12/08
7/13/08 21:15,Houston,TX,Sphere,10-15 seconds,lit circle travling south to north across sky in 10-15 seconds in houston,8/12/08
7/13/08 04:30,Humble,TX,Light,,"At approx 4:00 am 07-13-08 taking photos on the back waters of the Sanjacinto river,strange light.",8/12/08
7/12/08 23:00,Fort Worth,TX,Triangle,approx. 3 hrs,Large triangular shaped craft with white lights blinking or rotating around it.  ((NUFORC Note:  Twinkling stars?  PD)),8/12/08
